from,to,age,location,family-relation,family-weight,relation,relation-weight
HBS,FBS,5,München,1,1,9,3
HBS,SBS,5,München,1,1,9,3
FBS,SBS,5,München,1,1,9,3
HBS,OMMS,5,99,1,3,7,1
HBS,OMMS,5,99,1,3,7,1
OMMS,OPMS,99,99,1,99,99,99
HBS,LDFNJ,4,99,4,2,99,99
HBS,LDFNJ,5,Dachboden OMMS,4,5,2,3
HBS,JN,4,99,4,2,99,99
HBS,JN,5,Dachboden OMMS,4,5,2,3
HBS,HDJ,5,Dachboden OMMS,4,5,2,3
HBS,NPD,5,Dachboden OMMS,4,5,2,3
HBS,DVU,5,Dachboden OMMS,3,5,2,3
HR,AP,4,Fürstenfeldbruck,4,5,2,3
HBS,ST,4,99,4,2,7,2
HBS,ST,5,Dachboden OMMS,4,5,2,3
HBS,LS,4,99,4,2,7,2
HBS,LS,5,Dachboden OMMS,4,5,2,3
HBS,GBS,5,Dachboden OMMS,4,5,2,3
HBS,GBS,4,99,4,2,4,2
GBS,NSU,4,99,4,2,7,2
HBS,VR,4,99,1,1,99,99
HBS,OPVS,4,99,1,2,99,99
HBS,OMVS,4,99,1,2,99,99
HBS,HDJ,Kindheit und Jugend,99,4,1,6,2
HBS,JN,Kindheit und Jugend,99,3,1,6,2
HBS,POL,Jugend,99,4,3,2,3
HBS,BHiJ,Kindheit und Jugend,Jena,4,2,6,2
HBS,BJ,2015,99,2,3,7,2
HBS,BJ,2017,München,2,3,2,2
HBS,NAL,2016-2017,99,4,2,7,1
HBS,MR,2017,99,1,1,6,3
HBS,JSR,2017,99,1,2,6,3
HBS,BF,2017,99,2,1,7,3
MR,FVE,Kindheit und Jugend,Fürstenfeldbruck,2,2,7,3
VR,FVE,Kindheit und Jugend,Fürstenfeldbruck,2,2,7,3
HBS,EC,Kindheit und Jugend,Fürstenfeldbruck,2,2,7,2
HBS,TUN,2017,99,4,2,99,99
VR,MR,1992,Fürstenfeldbruck,1,2,7,1
VR,HR,1992-2007,Fürstenfeldbruck,99,99,99,99
MR,HR,1992-2007,Fürstenfeldbruck,99,99,99,99
